Location,Year,Series,Series Code,Permits
ADAMS,1980,Units in Single-Family Structures,2,0
ADAMS,1981,Units in Single-Family Structures,2,0
ADAMS,1982,Units in Single-Family Structures,2,0
ADAMS,1983,Units in Single-Family Structures,2,0
ADAMS,1984,Units in Single-Family Structures,2,0
ADAMS,1985,Units in Single-Family Structures,2,0
ADAMS,1986,Units in Single-Family Structures,2,0
ADAMS,1987,Units in Single-Family Structures,2,0
ADAMS,1988,Units in Single-Family Structures,2,0
ADAMS,1989,Units in Single-Family Structures,2,0
ADAMS,1990,Units in Single-Family Structures,2,3
ADAMS,1991,Units in Single-Family Structures,2,3
ADAMS,1992,Units in Single-Family Structures,2,3
ADAMS,1993,Units in Single-Family Structures,2,1
ADAMS,1994,Units in Single-Family Structures,2,3
ADAMS,1995,Units in Single-Family Structures,2,1
ADAMS,1996,Units in Single-Family Structures,2,0
ADAMS,1997,Units in Single-Family Structures,2,0
ADAMS,1998,Units in Single-Family Structures,2,0
ADAMS,1999,Units in Single-Family Structures,2,0
ADAMS,2000,Units in Single-Family Structures,2,0
ADAMS,2001,Units in Single-Family Structures,2,0
ADAMS,2002,Units in Single-Family Structures,2,0
ADAMS,2003,Units in Single-Family Structures,2,0
ADAMS,2004,Units in Single-Family Structures,2,0
ADAMS,2005,Units in Single-Family Structures,2,0
ADAMS,2006,Units in Single-Family Structures,2,0
ADAMS,2007,Units in Single-Family Structures,2,0
ADAMS,2008,Units in Single-Family Structures,2,0
ADAMS,2009,Units in Single-Family Structures,2,0
ADAMS,2010,Units in Single-Family Structures,2,0
ADAMS,2011,Units in Single-Family Structures,2,0
ADAMS,2012,Units in Single-Family Structures,2,0
ADAMS,2013,Units in Single-Family Structures,2,0
ADAMS,2014,Units in Single-Family Structures,2,0
ADAMS,2015,Units in Single-Family Structures,2,0
ADAMS,2016,Units in Single-Family Structures,2,0
ADAMS,2017,Units in Single-Family Structures,2,0
ADAMS,2018,Units in Single-Family Structures,2,0
ADAMS,2019,Units in Single-Family Structures,2,0
ADAMS,2020,Units in Single-Family Structures,2,0
ADAMS,2021,Units in Single-Family Structures,2,0
ADAMS,1980,Units in All Multi-Family Structures,3,0
ADAMS,1981,Units in All Multi-Family Structures,3,0
ADAMS,1982,Units in All Multi-Family Structures,3,0
ADAMS,1983,Units in All Multi-Family Structures,3,0
ADAMS,1984,Units in All Multi-Family Structures,3,0
ADAMS,1985,Units in All Multi-Family Structures,3,0
ADAMS,1986,Units in All Multi-Family Structures,3,0
ADAMS,1987,Units in All Multi-Family Structures,3,0
ADAMS,1988,Units in All Multi-Family Structures,3,0
ADAMS,1989,Units in All Multi-Family Structures,3,0
ADAMS,1990,Units in All Multi-Family Structures,3,0
ADAMS,1991,Units in All Multi-Family Structures,3,0
ADAMS,1992,Units in All Multi-Family Structures,3,0
ADAMS,1993,Units in All Multi-Family Structures,3,0
ADAMS,1994,Units in All Multi-Family Structures,3,0
ADAMS,1995,Units in All Multi-Family Structures,3,0
ADAMS,1996,Units in All Multi-Family Structures,3,0
ADAMS,1997,Units in All Multi-Family Structures,3,0
ADAMS,1998,Units in All Multi-Family Structures,3,0
ADAMS,1999,Units in All Multi-Family Structures,3,0
ADAMS,2000,Units in All Multi-Family Structures,3,0
ADAMS,2001,Units in All Multi-Family Structures,3,0
ADAMS,2002,Units in All Multi-Family Structures,3,0
ADAMS,2003,Units in All Multi-Family Structures,3,0
ADAMS,2004,Units in All Multi-Family Structures,3,0
ADAMS,2005,Units in All Multi-Family Structures,3,0
ADAMS,2006,Units in All Multi-Family Structures,3,0
ADAMS,2007,Units in All Multi-Family Structures,3,0
ADAMS,2008,Units in All Multi-Family Structures,3,0
ADAMS,2009,Units in All Multi-Family Structures,3,0
ADAMS,2010,Units in All Multi-Family Structures,3,0
ADAMS,2011,Units in All Multi-Family Structures,3,0
ADAMS,2012,Units in All Multi-Family Structures,3,0
ADAMS,2013,Units in All Multi-Family Structures,3,0
ADAMS,2014,Units in All Multi-Family Structures,3,0
ADAMS,2015,Units in All Multi-Family Structures,3,0
ADAMS,2016,Units in All Multi-Family Structures,3,0
ADAMS,2017,Units in All Multi-Family Structures,3,0
ADAMS,2018,Units in All Multi-Family Structures,3,0
ADAMS,2019,Units in All Multi-Family Structures,3,0
ADAMS,2020,Units in All Multi-Family Structures,3,0
ADAMS,2021,Units in All Multi-Family Structures,3,0
ASHLAND CITY TOWN,1980,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,1981,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,1982,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,1983,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,1984,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,1985,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,1986,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,1987,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,1988,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,1989,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,1990,Units in Single-Family Structures,2,76
ASHLAND CITY TOWN,1991,Units in Single-Family Structures,2,48
ASHLAND CITY TOWN,1992,Units in Single-Family Structures,2,11
ASHLAND CITY TOWN,1993,Units in Single-Family Structures,2,6
ASHLAND CITY TOWN,1994,Units in Single-Family Structures,2,18
ASHLAND CITY TOWN,1995,Units in Single-Family Structures,2,22
ASHLAND CITY TOWN,1996,Units in Single-Family Structures,2,18
ASHLAND CITY TOWN,1997,Units in Single-Family Structures,2,14
ASHLAND CITY TOWN,1998,Units in Single-Family Structures,2,15
ASHLAND CITY TOWN,1999,Units in Single-Family Structures,2,2
ASHLAND CITY TOWN,2000,Units in Single-Family Structures,2,35
ASHLAND CITY TOWN,2001,Units in Single-Family Structures,2,29
ASHLAND CITY TOWN,2002,Units in Single-Family Structures,2,31
ASHLAND CITY TOWN,2003,Units in Single-Family Structures,2,19
ASHLAND CITY TOWN,2004,Units in Single-Family Structures,2,24
ASHLAND CITY TOWN,2005,Units in Single-Family Structures,2,6
ASHLAND CITY TOWN,2006,Units in Single-Family Structures,2,26
ASHLAND CITY TOWN,2007,Units in Single-Family Structures,2,36
ASHLAND CITY TOWN,2008,Units in Single-Family Structures,2,14
ASHLAND CITY TOWN,2009,Units in Single-Family Structures,2,6
ASHLAND CITY TOWN,2010,Units in Single-Family Structures,2,3
ASHLAND CITY TOWN,2011,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,2012,Units in Single-Family Structures,2,0
ASHLAND CITY TOWN,2013,Units in Single-Family Structures,2,2
ASHLAND CITY TOWN,2014,Units in Single-Family Structures,2,4
ASHLAND CITY TOWN,2015,Units in Single-Family Structures,2,7
ASHLAND CITY TOWN,2016,Units in Single-Family Structures,2,25
ASHLAND CITY TOWN,2017,Units in Single-Family Structures,2,63
ASHLAND CITY TOWN,2018,Units in Single-Family Structures,2,50
ASHLAND CITY TOWN,2019,Units in Single-Family Structures,2,24
ASHLAND CITY TOWN,2020,Units in Single-Family Structures,2,16
