Location,Year,Series,Series Code,Permits
Cheatham County,2021,Total Units,1,407
Cheatham County,2021,Units in Single-Family Structures,2,260
Cheatham County,2021,Units in All Multi-Family Structures,3,147
Cheatham County,2021,Units in 2-unit Multi-Family Structures,4,0
Cheatham County,2021,Units in 3- and 4-unit Multi-Family Structures,5,3
Cheatham County,2021,Units in 5+ Unit Multi-Family Structures,6,144
Davidson County,2021,Total Units,1,16310
Davidson County,2021,Units in Single-Family Structures,2,4105
Davidson County,2021,Units in All Multi-Family Structures,3,12205
Davidson County,2021,Units in 2-unit Multi-Family Structures,4,10
Davidson County,2021,Units in 3- and 4-unit Multi-Family Structures,5,31
Davidson County,2021,Units in 5+ Unit Multi-Family Structures,6,12164
Dickson County,2021,Total Units,1,617
Dickson County,2021,Units in Single-Family Structures,2,473
Dickson County,2021,Units in All Multi-Family Structures,3,144
Dickson County,2021,Units in 2-unit Multi-Family Structures,4,0
Dickson County,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
Dickson County,2021,Units in 5+ Unit Multi-Family Structures,6,144
Houston County,2021,Total Units,1,1
Houston County,2021,Units in Single-Family Structures,2,1
Houston County,2021,Units in All Multi-Family Structures,3,0
Houston County,2021,Units in 2-unit Multi-Family Structures,4,0
Houston County,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
Houston County,2021,Units in 5+ Unit Multi-Family Structures,6,0
Humphreys County,2021,Total Units,1,20
Humphreys County,2021,Units in Single-Family Structures,2,20
Humphreys County,2021,Units in All Multi-Family Structures,3,0
Humphreys County,2021,Units in 2-unit Multi-Family Structures,4,0
Humphreys County,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
Humphreys County,2021,Units in 5+ Unit Multi-Family Structures,6,0
Maury County,2021,Total Units,1,2397
Maury County,2021,Units in Single-Family Structures,2,1686
Maury County,2021,Units in All Multi-Family Structures,3,711
Maury County,2021,Units in 2-unit Multi-Family Structures,4,32
Maury County,2021,Units in 3- and 4-unit Multi-Family Structures,5,4
Maury County,2021,Units in 5+ Unit Multi-Family Structures,6,675
Montgomery County,2021,Total Units,1,4008
Montgomery County,2021,Units in Single-Family Structures,2,2119
Montgomery County,2021,Units in All Multi-Family Structures,3,1889
Montgomery County,2021,Units in 2-unit Multi-Family Structures,4,16
Montgomery County,2021,Units in 3- and 4-unit Multi-Family Structures,5,143
Montgomery County,2021,Units in 5+ Unit Multi-Family Structures,6,1730
Robertson County,2021,Total Units,1,937
Robertson County,2021,Units in Single-Family Structures,2,905
Robertson County,2021,Units in All Multi-Family Structures,3,32
Robertson County,2021,Units in 2-unit Multi-Family Structures,4,10
Robertson County,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
Robertson County,2021,Units in 5+ Unit Multi-Family Structures,6,22
Rutherford County,2021,Total Units,1,3963
Rutherford County,2021,Units in Single-Family Structures,2,3488
Rutherford County,2021,Units in All Multi-Family Structures,3,475
Rutherford County,2021,Units in 2-unit Multi-Family Structures,4,48
Rutherford County,2021,Units in 3- and 4-unit Multi-Family Structures,5,64
Rutherford County,2021,Units in 5+ Unit Multi-Family Structures,6,363
Stewart County,2021,Total Units,1,3
Stewart County,2021,Units in Single-Family Structures,2,3
Stewart County,2021,Units in All Multi-Family Structures,3,0
Stewart County,2021,Units in 2-unit Multi-Family Structures,4,0
Stewart County,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
Stewart County,2021,Units in 5+ Unit Multi-Family Structures,6,0
Sumner County,2021,Total Units,1,1842
Sumner County,2021,Units in Single-Family Structures,2,1775
Sumner County,2021,Units in All Multi-Family Structures,3,67
Sumner County,2021,Units in 2-unit Multi-Family Structures,4,4
Sumner County,2021,Units in 3- and 4-unit Multi-Family Structures,5,4
Sumner County,2021,Units in 5+ Unit Multi-Family Structures,6,59
Trousdale County,2021,Total Units,1,105
Trousdale County,2021,Units in Single-Family Structures,2,105
Trousdale County,2021,Units in All Multi-Family Structures,3,0
Trousdale County,2021,Units in 2-unit Multi-Family Structures,4,0
Trousdale County,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
Trousdale County,2021,Units in 5+ Unit Multi-Family Structures,6,0
Williamson County,2021,Total Units,1,2980
Williamson County,2021,Units in Single-Family Structures,2,2073
Williamson County,2021,Units in All Multi-Family Structures,3,907
Williamson County,2021,Units in 2-unit Multi-Family Structures,4,0
Williamson County,2021,Units in 3- and 4-unit Multi-Family Structures,5,61
Williamson County,2021,Units in 5+ Unit Multi-Family Structures,6,846
Wilson County,2021,Total Units,1,2371
Wilson County,2021,Units in Single-Family Structures,2,2371
Wilson County,2021,Units in All Multi-Family Structures,3,0
Wilson County,2021,Units in 2-unit Multi-Family Structures,4,0
Wilson County,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
Wilson County,2021,Units in 5+ Unit Multi-Family Structures,6,0
ADAMS,2021,Total Units,1,0
ADAMS,2021,Units in Single-Family Structures,2,0
ADAMS,2021,Units in All Multi-Family Structures,3,0
ADAMS,2021,Units in 2-unit Multi-Family Structures,4,0
ADAMS,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
ADAMS,2021,Units in 5+ Unit Multi-Family Structures,6,0
ASHLAND CITY TOWN,2021,Total Units,1,193
ASHLAND CITY TOWN,2021,Units in Single-Family Structures,2,46
ASHLAND CITY TOWN,2021,Units in All Multi-Family Structures,3,147
ASHLAND CITY TOWN,2021,Units in 2-unit Multi-Family Structures,4,0
ASHLAND CITY TOWN,2021,Units in 3- and 4-unit Multi-Family Structures,5,3
ASHLAND CITY TOWN,2021,Units in 5+ Unit Multi-Family Structures,6,144
BELLE MEADE,2021,Total Units,1,14
BELLE MEADE,2021,Units in Single-Family Structures,2,14
BELLE MEADE,2021,Units in All Multi-Family Structures,3,0
BELLE MEADE,2021,Units in 2-unit Multi-Family Structures,4,0
BELLE MEADE,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
BELLE MEADE,2021,Units in 5+ Unit Multi-Family Structures,6,0
BERRY HILL,2021,Total Units,1,0
BERRY HILL,2021,Units in Single-Family Structures,2,0
BERRY HILL,2021,Units in All Multi-Family Structures,3,0
BERRY HILL,2021,Units in 2-unit Multi-Family Structures,4,0
BERRY HILL,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
BERRY HILL,2021,Units in 5+ Unit Multi-Family Structures,6,0
BRENTWOOD,2021,Total Units,1,147
BRENTWOOD,2021,Units in Single-Family Structures,2,147
BRENTWOOD,2021,Units in All Multi-Family Structures,3,0
BRENTWOOD,2021,Units in 2-unit Multi-Family Structures,4,0
BRENTWOOD,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
BRENTWOOD,2021,Units in 5+ Unit Multi-Family Structures,6,0
BURNS TOWN,2021,Total Units,1,51
BURNS TOWN,2021,Units in Single-Family Structures,2,51
BURNS TOWN,2021,Units in All Multi-Family Structures,3,0
BURNS TOWN,2021,Units in 2-unit Multi-Family Structures,4,0
BURNS TOWN,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
BURNS TOWN,2021,Units in 5+ Unit Multi-Family Structures,6,0
CHARLOTTE TOWN,2021,Total Units,1,0
CHARLOTTE TOWN,2021,Units in Single-Family Structures,2,0
CHARLOTTE TOWN,2021,Units in All Multi-Family Structures,3,0
CHARLOTTE TOWN,2021,Units in 2-unit Multi-Family Structures,4,0
CHARLOTTE TOWN,2021,Units in 3- and 4-unit Multi-Family Structures,5,0
CHARLOTTE TOWN,2021,Units in 5+ Unit Multi-Family Structures,6,0
CHEATHAM COUNTY UNINCORPORATED AREA,2021,Total Units,1,100
CHEATHAM COUNTY UNINCORPORATED AREA,2021,Units in Single-Family Structures,2,100
CHEATHAM COUNTY UNINCORPORATED AREA,2021,Units in All Multi-Family Structures,3,0
CHEATHAM COUNTY UNINCORPORATED AREA,2021,Units in 2-unit Multi-Family Structures,4,0
