blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""471439754011""","""Dayton, TN""",1.00,1285.00,548.00,1412.50,55,65,40,24,30,16,30,34,23,8.27,3.21,1.55,1,2,20994,18811,22727,0,0,0,10974,9961,12652,8002,7298,9435,2972,2663,3217,0,0,0,0,0,0,6.7,3.3,2.28,0.39,3053,47,5510,85,19,58,1172,732,936,579,43,57
"""471459801001""","""Knoxville, TN""",1.00,0.00,0.00,20650.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,0.00,0.00,,,,,,,1969,,,,,
"""471579802001""","""Memphis, TN-MS-AR""",1.00,0.00,0.00,10197.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,0.00,0.00,,,,,,5,3403,,,,,
"""471579803001""","""Memphis, TN-MS-AR""",1.00,0.00,0.00,24033.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,0.00,0.00,,,,,,,4530,,,,,
"""471619802001""",,1.00,0.00,0.00,25021.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,0.00,0.00,,,,,,,2345,,,,,
"""470319708021""","""Tullahoma-Manchester, TN""",1.00,801.00,371.00,996.84,72,85,59,39,49,31,33,36,28,,,1.97,2,2,24192,21512,25751,0,0,0,14131,12328,15062,10707,9282,11418,3424,3046,3645,0,0,0,0,0,0,1.1,2.2,0.55,0.37,4335,96,5160,86,40,50,1654,1375,1375,,94,6
"""470930009021""","""Knoxville, TN""",1.00,1138.00,18.00,423.65,,,,,,,22,23,19,,,1.36,1,1,16675,14920,17614,5,5,5,9839,8393,10483,7411,6210,7924,2360,2112,2493,68,71,66,100,104,97,8.6,8.6,2.16,0.04,15320,22,50694,90,9,121,1067,,,,22,78
"""471570212001""","""Memphis, TN-MS-AR""",1.00,1226.00,0.00,502.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,0.08,0.00,,,,,,57,1315,,,,,
"""471219601001""",,1.00,1467.00,607.00,24034.99,73,87,50,35,44,22,38,43,28,9.07,0.23,1.89,2,2,22684,20035,25179,1,0,1,12987,11886,15030,9766,9042,11453,3212,2837,3564,10,8,14,8,7,12,2.1,1.3,0.10,0.03,1500,61,1361,81,120,11,3016,999,1008,950,85,15
"""471779308002""","""McMinnville, TN""",1.00,2025.00,724.00,10385.74,71,84,49,33,41,22,38,44,28,10.25,0.71,1.93,2,2,24174,21806,25591,0,0,0,13409,12313,15030,9986,9225,11408,3423,3087,3622,0,0,0,0,0,0,2.6,0.3,0.45,0.07,1718,78,2025,83,101,12,2451,966,1114,637,69,31
