county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""21001""","""Adair""","""""",15.00,18852.00,7048.00,259380.88,67,80,45,28,35,17,39,45,27,9.86,0.77,1.88,2,2,23532,21093,25050,1,1,1,13035,11951,14733,9693,8954,11176,3332,2986,3545,10,11,12,9,10,10,1.3,2.6,0.18,0.03,1873,69,1836,81,247,6,4673,785,847,474,74,26
"""21003""","""Allen""","""Bowling Green, KY""",15.00,20355.00,7774.00,220375.90,56,65,46,23,29,19,33,36,27,10.13,0.93,1.98,2,2,24364,21868,25193,0,0,0,14235,12546,14807,10780,9443,11233,3448,3096,3566,7,6,9,6,5,7,1.2,2.6,0.27,0.04,1911,74,2009,81,239,8,4481,843,864,553,73,27
"""21005""","""Anderson""","""Frankfort, KY""",13.00,21761.00,8446.00,129173.16,54,64,51,25,31,23,29,33,28,10.61,5.03,2.01,2,2,24031,21480,25180,0,0,0,14320,13085,14841,10919,10045,11276,3401,3040,3564,0,0,1,0,0,1,0.8,1.2,0.42,0.07,3385,80,3084,84,125,7,4048,1046,1107,697,77,23
"""21007""","""Ballard""","""Paducah, KY-IL""",8.00,8256.00,3288.00,157861.64,58,68,48,25,31,20,33,37,28,10.17,0.37,2.03,2,2,23945,21408,25578,1,1,1,14440,12741,15331,11037,9698,11695,3389,3031,3620,13,12,16,11,10,14,1.0,1.4,0.35,0.02,1014,76,1019,80,195,,4176,896,957,600,81,19
"""21009""","""Barren""","""Glasgow, KY""",34.00,42925.00,16979.00,312026.65,61,73,45,27,34,19,35,39,27,9.25,2.98,1.86,2,2,23377,20982,24737,0,0,0,12898,11795,14402,9585,8821,10897,3310,2971,3501,3,3,4,3,3,4,1.4,2.1,0.24,0.05,2851,71,4095,83,148,8,3970,836,848,560,67,33
"""21011""","""Bath""","""Mount Sterling, KY""",9.00,11978.00,4297.00,178430.08,64,77,46,27,34,18,37,43,28,9.21,0.24,1.92,2,2,23947,21351,25131,1,1,1,13334,12242,14846,9932,9207,11276,3390,3023,3557,12,11,14,10,10,12,1.9,1.6,0.22,0.02,1523,61,1469,81,273,6,3875,820,891,619,75,25
"""21013""","""Bell""","""Middlesborough, KY""",26.00,27950.00,11088.00,229760.04,84,98,41,36,45,15,49,53,26,8.48,2.97,1.56,1,2,20253,18120,24037,1,1,1,10956,9600,13972,8067,6949,10554,2867,2628,3402,21,24,16,18,20,13,2.5,1.9,0.53,0.05,2092,58,2054,81,122,11,3155,675,713,346,66,34
"""21015""","""Boone""","""Cincinnati, OH-KY-IN""",58.00,124617.00,44709.00,157520.20,52,62,53,28,35,29,24,27,25,10.15,12.45,1.86,2,2,23073,20445,23269,1,1,1,13425,12092,13459,10149,9190,10155,3266,2894,3293,11,9,11,9,7,9,1.4,5.9,0.85,0.28,8927,69,12199,86,79,18,3564,1282,1335,952,73,27
"""21017""","""Bourbon""","""Lexington-Fayette, KY""",18.00,20013.00,7867.00,185420.21,51,60,48,22,28,21,28,32,27,9.91,4.53,2.01,2,2,24208,21814,24739,0,0,0,14378,13179,14604,10952,10092,11102,3426,3087,3502,0,0,0,0,0,0,1.6,0.7,0.58,0.04,3359,76,3553,85,162,7,3834,947,984,667,62,38
"""21019""","""Boyd""","""Huntington-Ashland, WV-KY-OH""",37.00,48917.00,19383.00,102314.86,56,65,46,27,33,21,29,31,25,8.89,8.54,1.72,2,2,21747,19444,23222,1,1,1,12435,10748,13400,9347,7984,10103,3078,2753,3287,11,12,10,25,28,24,1.8,5.4,0.73,0.19,5407,75,7243,84,46,27,2676,946,1027,505,70,30
