mpo,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""01196401""","""Mobile Area Transportation Study""","""Mobile, AL""",252.31,384862.44,143852.67,420161.73,57,66,47,29,36,23,28,30,24,8.95,10.14,1.74,2,2,21648,19342,22398,1,1,1,12313,10620,12910,9463,8069,9963,2835,2534,2933,15,17,14,19,21,17,2.9,4.8,1.50,0.34,9168,73,11426,86,27,73,1725,1049,1119,767,65,35
"""01196402""","""Gadsden-Etowah MPO""","""Anniston-Oxford-Jacksonville, AL,Birmingham-Hoover, AL,Gadsden, AL""",71.47,84306.35,33002.08,194208.75,59,71,46,29,36,21,31,35,25,9.16,5.24,1.77,2,2,22399,20052,23746,1,1,0,12094,10955,13558,9157,8325,10446,2934,2627,3109,3,3,3,4,5,4,2.1,3.6,0.56,0.17,4420,78,5538,84,48,24,2765,936,994,563,69,31
"""01197401""","""Tuscaloosa Area MPO""","""Birmingham-Hoover, AL,Tuscaloosa, AL""",115.00,200457.39,69127.80,845864.11,59,69,49,30,37,24,30,32,25,9.62,7.39,1.82,2,2,22802,20318,23044,0,0,0,12892,11199,13259,9903,8535,10239,2986,2661,3017,3,3,2,4,5,4,1.6,3.1,0.47,0.08,6242,63,9755,86,58,13,3823,1079,1107,803,64,36
"""01197402""","""Shoals Area MPO""","""Florence-Muscle Shoals, AL""",83.15,100109.23,42180.43,164736.23,54,63,44,25,32,20,29,32,25,8.89,8.38,1.74,2,2,21695,19397,23401,0,0,0,12327,10739,13320,9484,8195,10253,2841,2541,3064,2,3,2,2,2,2,2.5,3.3,0.84,0.26,6006,75,7053,85,34,37,2300,892,972,546,65,35
"""01197501""","""Montgomery MPO""","""Montgomery, AL""",246.40,328304.50,124445.30,592210.94,54,63,47,27,34,24,27,29,24,9.06,10.92,1.75,2,2,22163,19922,22910,1,1,1,12413,10705,12935,9501,8083,9926,2902,2610,3000,10,12,9,11,13,10,2.1,5.3,0.84,0.21,8532,72,10940,85,54,19,3183,1057,1048,759,63,37
"""01197502""","""Auburn - Opelika MPO""","""Auburn-Opelika, AL,Valley, AL""",51.90,93748.07,36047.86,140672.95,56,65,47,28,35,23,28,30,24,9.08,10.78,1.75,2,2,22201,19749,22740,0,0,0,12446,10855,12853,9538,8268,9874,2907,2587,2978,1,0,1,1,0,1,3.1,2.1,1.38,0.26,6488,50,8542,87,47,24,2373,1039,1071,815,50,50
"""01197601""","""Huntsville MPO""","""Albertville, AL,Huntsville, AL,Scottsboro, AL""",198.34,367247.70,144427.16,589154.23,48,57,50,24,30,25,24,27,25,9.44,8.99,1.88,2,2,22610,20106,23087,0,0,0,13185,11897,13337,10220,9260,10309,2961,2633,3023,5,5,5,6,6,7,2.6,3.2,1.39,0.25,7949,73,11171,87,31,49,1720,1133,1156,787,69,31
"""01197602""","""Calhoun Area Metropolitan Planning Organization""","""Anniston-Oxford-Jacksonville, AL,Talladega-Sylacauga, AL""",72.98,99504.66,38372.98,196276.73,57,66,45,26,33,20,30,33,25,9.22,4.67,1.78,2,2,22341,19987,23655,0,1,0,12591,10983,13506,9654,8351,10399,2926,2618,3098,12,14,10,14,17,12,2.9,2.8,1.07,0.20,4243,73,4986,84,43,35,1989,909,934,605,67,33
"""01197700""","""Birmingham MPO""","""Birmingham-Hoover, AL,Cullman, AL,Talladega-Sylacauga, AL,Tuscaloosa, AL""",653.02,922589.58,358497.30,1422950.68,54,63,50,29,36,26,25,28,24,9.11,10.62,1.77,2,2,22026,19541,22648,0,0,0,12524,10843,12889,9635,8279,9918,2884,2560,2966,5,4,5,6,6,6,2.4,5.9,1.21,0.25,9868,72,15590,86,34,32,2254,1189,1205,723,68,32
"""01198200""","""Decatur Area MPO""","""Decatur, AL,Huntsville, AL""",57.99,92512.25,35873.51,137651.09,54,63,46,26,32,21,28,31,25,9.32,8.42,1.78,2,2,22405,19937,23390,0,0,0,12636,10994,13276,9700,8381,10211,2934,2611,3063,2,1,2,1,1,2,2.3,3.8,0.97,0.26,6135,70,7658,85,34,30,2222,948,1021,558,68,32
