place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""2100298""","""Adairville""","""""",0.05,50.74,18.01,749.41,64,76,49,29,36,21,35,40,28,10.07,0.25,1.93,2,2,23552,21241,25389,0,0,0,13319,12277,15006,9978,9261,11407,3335,3007,3593,6,9,6,5,7,5,2.2,1.3,0.83,0.02,1738,78,1623,82,179,7,3269,933,1065,666,67,33
"""2100514""","""Ages""","""""",0.08,70.56,29.28,356.26,68,81,38,25,31,12,43,50,26,7.89,0.66,1.59,1,2,20736,18609,24247,2,2,1,11174,10239,13951,8209,7573,10496,2936,2635,3432,29,32,22,24,27,19,4.0,2.3,2.80,0.08,1593,60,1193,80,78,14,1501,539,702,267,64,36
"""2100694""","""Albany""","""""",0.20,289.36,109.93,1451.49,73,86,42,30,37,15,43,49,26,9.29,0.76,1.71,2,2,22791,20513,24679,1,1,1,12056,11051,14126,8815,8129,10620,3227,2904,3493,14,18,13,12,16,11,3.5,2.2,1.78,0.08,1503,62,1623,81,130,16,1986,690,855,418,62,38
"""2100802""","""Alexandria""","""Cincinnati, OH-KY-IN""",2.87,4171.81,1607.35,4428.81,52,62,54,27,33,27,26,29,26,10.53,4.43,1.97,2,2,24282,21721,24475,1,1,1,14162,12793,14204,10712,9706,10726,3437,3074,3464,14,12,14,11,10,11,1.8,3.8,0.86,0.36,4541,83,4217,84,71,32,2377,1229,1282,852,78,22
"""2100946""","""Allen""","""""",0.02,35.82,15.25,114.30,70,83,44,30,37,17,41,46,27,9.00,1.20,1.77,2,2,21755,19218,25084,0,0,1,12225,11122,14743,9139,8396,11182,3080,2721,3550,6,5,11,5,4,9,2.3,1.7,0.73,0.13,1885,69,1604,81,52,20,1620,745,726,900,89,11
"""2101000""","""Allensville""","""""",0.03,20.46,7.27,594.52,75,89,58,36,45,27,39,43,31,10.94,0.13,2.23,2,2,25611,22974,26597,0,0,0,15787,14014,16551,12162,10761,12786,3625,3253,3764,0,0,0,0,0,0,0.2,0.2,0.13,0.01,1714,92,1622,83,316,4,3584,1226,1292,813,86,14
"""2101504""","""Anchorage""","""Louisville/Jefferson County, KY-IN""",2.11,2330.48,790.95,1889.68,84,102,81,58,73,55,26,29,25,10.52,6.14,1.88,2,2,22858,20227,23277,1,1,1,13467,12046,13712,10224,9174,10410,3235,2863,3295,8,8,8,9,10,9,2.0,8.1,0.92,0.42,14048,92,25370,88,27,46,1456,2477,2554,1335,89,11
"""2101648""","""Annville""","""""",0.41,617.21,257.15,5128.95,64,75,40,24,30,13,39,45,26,9.02,0.46,1.68,2,2,21172,18948,24494,1,1,1,11684,10741,14166,8663,8032,10679,2998,2683,3467,24,27,20,21,23,17,3.2,2.2,0.15,0.05,1840,57,1344,80,193,13,3244,605,641,543,63,37
"""2101720""","""Anthoston""","""Evansville, IN-KY""",0.02,25.94,11.19,412.08,57,67,51,25,31,22,32,36,29,10.44,0.28,2.17,2,2,25222,22530,26117,0,0,0,15394,13589,15859,11824,10399,12161,3570,3190,3696,1,0,1,2,1,4,0.5,0.8,0.32,0.03,1722,84,1512,82,247,8,3838,985,1016,203,88,12
"""2101972""","""Arjay""","""Middlesborough, KY""",0.04,33.86,14.20,396.57,72,83,36,22,27,9,50,56,26,8.20,0.29,1.61,1,2,20848,18734,24526,2,2,1,11305,9972,14259,8322,7220,10762,2952,2717,3471,32,35,25,27,30,21,3.1,2.1,0.26,0.04,1428,57,1042,79,202,11,2931,409,,409,64,36
"""2102044""","""Arlington""","""""",0.04,25.58,11.82,239.22,54,64,42,21,26,15,33,38,27,8.68,0.43,1.84,2,2,23044,20759,24773,1,1,1,12802,11736,14417,9516,8772,10886,3263,2939,3506,23,25,24,20,21,21,3.1,2.2,0.59,0.05,1061,71,899,79,89,9,1856,682,812,411,68,32
"""2102188""","""Artemus""","""London, KY""",0.41,470.33,184.44,864.56,61,73,41,25,32,15,36,41,25,8.45,2.07,1.66,2,2,21783,19525,23959,1,1,0,11640,10611,13677,8547,7834,10280,3084,2764,3391,9,12,5,8,10,5,4.7,1.7,0.77,0.21,2283,62,2233,83,34,37,1678,687,773,562,60,40
"""2102368""","""Ashland""","""Huntington-Ashland, WV-KY-OH""",16.80,20974.28,8736.44,6876.39,52,61,43,25,32,20,27,29,23,8.33,14.87,1.58,1,2,20427,18339,21852,2,2,2,11518,9856,12515,8612,7242,9409,2891,2597,3093,15,18,14,37,42,33,5.1,7.1,5.29,1.27,7745,76,11497,85,11,160,1001,905,1000,572,62,38
"""2102638""","""Auburn""","""""",0.05,88.09,33.70,1030.59,65,78,50,30,37,21,36,41,29,10.53,0.38,2.00,2,2,24001,21527,25881,0,0,0,13741,12652,15437,10338,9598,11767,3398,3048,3663,5,6,7,4,5,6,1.2,1.4,0.37,0.03,1549,80,1507,81,325,6,3553,949,1041,607,78,22
"""2102656""","""Audubon Park""","""Louisville/Jefferson County, KY-IN""",0.89,1676.76,653.63,207.24,56,67,54,33,41,31,23,26,23,8.77,27.68,1.68,1,2,19744,17599,20085,2,2,2,11962,10492,12223,9145,7979,9358,2795,2491,2843,22,22,23,26,25,26,4.9,8.8,4.21,3.15,23047,83,44246,90,8,121,814,1396,1594,625,80,20
"""2102674""","""Augusta""","""Cincinnati, OH-KY-IN""",0.84,758.39,325.00,864.57,44,52,45,20,25,21,24,27,25,8.57,5.50,1.86,2,2,22941,20572,23104,0,0,0,13373,12092,13381,10118,9175,10102,3247,2912,3270,8,5,9,6,4,7,3.9,2.0,1.53,0.38,1677,70,1873,82,13,63,2292,924,1113,596,64,36
