NAME,GEO_ID,Mean Travel Time to Work
Cheatham County,0500000US47021,33.8
Davidson County,0500000US47037,24.9
Dickson County,0500000US47043,33.1
Houston County,0500000US47083,39.2
Humphreys County,0500000US47085,34.6
"Macon County, Tennessee",0500000US47111,35.7
Maury County,0500000US47119,29.3
Montgomery County,0500000US47125,26.6
Robertson County,0500000US47147,31.2
Rutherford County,0500000US47149,28.4
Stewart County,0500000US47161,37.5
Sumner County,0500000US47165,29.5
Trousdale County,0500000US47169,43.0
Williamson County,0500000US47187,27.8
Wilson County,0500000US47189,30.6
"Allen County, KY",0500000US21003,26.6
"Simpson County, KY",0500000US21213,21.1
Adams,1600000US4700200,25.4
Ashland City,1600000US4702180,30.8
Belle Meade,1600000US4704620,18.0
Berry Hill,1600000US4705140,17.3
Brentwood,1600000US4708280,26.0
Burns,1600000US4709880,29.3
Cedar Hill,1600000US4711980,31.6
Charlotte,1600000US4713080,31.6
Clarksville,1600000US4715160,25.8
Columbia,1600000US4716540,27.7
Coopertown,1600000US4716980,31.8
Cross Plains,1600000US4718420,35.4
Cumberland City,1600000US4718820,26.3
Dickson,1600000US4720620,26.5
Dover,1600000US4721400,28.9
Eagleville,1600000US4722360,32.5
Erin,1600000US4724320,24.1
Fairview,1600000US4725440,37.4
Forest Hills,1600000US4727020,19.4
Franklin,1600000US4727740,24.7
Gallatin,1600000US4728540,26.4
Goodlettsville,1600000US4729920,26.7
Greenbrier,1600000US4730960,30.9
Hendersonville,1600000US4733280,28.0
Kingston Springs,1600000US4739660,34.2
Lafayette,1600000US4740160,34.6
La Vergne,1600000US4741200,30.9
Lebanon,1600000US4741520,24.5
McEwen,1600000US4744840,40.1
Millersville,1600000US4748980,32.4
Mitchellville,1600000US4749460,22.9
Mount Juliet,1600000US4750780,31.6
Mount Pleasant,1600000US4751080,25.1
Murfreesboro,1600000US4751560,27.4
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,25.0
New Johnsonville,1600000US4752820,25.8
Nolensville,1600000US4753460,36.2
Oak Hill,1600000US4754780,20.9
Pegram,1600000US4757480,34.2
Pleasant View,1600000US4759560,33.4
Portland,1600000US4760280,28.6
Ridgetop,1600000US4763140,31.0
Slayden,1600000US4769080,34.8
Smyrna,1600000US4769420,27.3
Springfield,1600000US4770500,24.8
Spring Hill,1600000US4770580,30.3
Tennessee Ridge,1600000US4773460,33.4
Thompson's Station,1600000US4773900,28.6
Vanleer,1600000US4776860,37.9
Watertown,1600000US4778320,35.8
Waverly,1600000US4778560,31.5
Westmoreland,1600000US4779420,32.7
White Bluff,1600000US4779980,38.9
White House,1600000US4780200,38.1
"Fort Knox CDP, Kentucky",1600000US2128540,12.5
"Franklin, KY",1600000US2128918,18.9
"Scottsville, KY",1600000US2169114,21.8
Tennessee,0400000US47,25.5
US,0100000US,26.8
