NAME,GEO_ID,Households,Annual Median Household Income,Monthly Median Household Income,Annual Transportation Cost,Monthly Transportation Cost,Annual Housing Cost,Monthly Housing Cost,Annual Housing and Transportation Cost,Monthly Housing and Transportation Cost,Transportation Cost as Percent of Monthly Median Household Income,Transportation Cost as Percent of Annual Median Household Income,Housing Cost as Percent of Monthly Median Household Income,Housing Cost as Percent of Annual Median Household Income,Housing and Transportation Cost as Percent of Monthly Median Household Income,Housing and Transportation Cost as Percent of Annual Median Household Income
"Cheatham County, Tennessee",0500000US47021,15089.0,61913.0,5159.416666666667,16511.0,1375.9166666666667,14748.0,1229.0,31259.0,2604.9166666666665,26.66806648038376,26.66806648038376,23.820522345872433,23.820522345872433,50.4885888262562,50.4885888262562
"Davidson County, Tennessee",0500000US47037,282366.0,60388.0,5032.333333333333,13136.0,1094.6666666666667,16308.0,1359.0,29444.0,2453.6666666666665,21.75266609260118,21.752666092601178,27.00536530436511,27.005365304365103,48.75803139696628,48.75803139696628
"Dickson County, Tennessee",0500000US47043,19198.0,53076.0,4423.0,16270.0,1355.8333333333333,13092.0,1091.0,29362.0,2446.8333333333335,30.654156304167607,30.654156304167607,24.666515939407642,24.666515939407642,55.32067224357525,55.32067224357525
"Houston County, Tennessee",0500000US47083,2878.0,42711.0,3559.25,15210.0,1267.5,11364.0,947.0,26574.0,2214.5,35.611434993327244,35.611434993327244,26.606728945704855,26.606728945704855,62.2181639390321,62.2181639390321
"Humphreys County, Tennessee",0500000US47085,6763.0,45667.0,3805.5833333333335,15296.0,1274.6666666666667,10764.0,897.0,26060.0,2171.6666666666665,33.494646024481575,33.494646024481575,23.570630871307507,23.570630871307507,57.065276895789076,57.06527689578908
"Macon County, Tennessee",0500000US47111,9170.0,37430.0,3119.1666666666665,16605.0,1383.75,10236.0,853.0,26841.0,2236.75,44.36281057974887,44.36281057974886,27.347047822602192,27.34704782260219,71.70985840235106,71.70985840235106
"Maury County, Tennessee",0500000US47119,34688.0,57170.0,4764.166666666667,15427.0,1285.5833333333333,13764.0,1147.0,29191.0,2432.5833333333335,26.984432394612558,26.984432394612558,24.07556410704915,24.075564107049154,51.05999650166171,51.05999650166171
"Montgomery County, Tennessee",0500000US47125,72617.0,57541.0,4795.083333333333,15003.0,1250.25,13824.0,1152.0,28827.0,2402.25,26.07358231521871,26.07358231521871,24.02460853999757,24.024608539997566,50.09819085521629,50.09819085521629
"Robertson County, Tennessee",0500000US47147,25713.0,63307.0,5275.583333333333,16428.0,1369.0,14940.0,1245.0,31368.0,2614.0,25.94973699590883,25.94973699590882,23.59928601892366,23.599286018923657,49.549023014832486,49.549023014832486
"Rutherford County, Tennessee",0500000US47149,111676.0,67429.0,5619.083333333333,15301.0,1275.0833333333333,15204.0,1267.0,30505.0,2542.0833333333335,22.69201678802889,22.69201678802889,22.54816177015824,22.54816177015824,45.24017855818713,45.240178558187125
