Households 2015,Annual Median Household Income 2015,Monthly Median Household Income 2015,Annual Transportation Cost 2015,Monthly Transportation Cost 2015,Annual Housing Cost 2015,Monthly Housing Cost 2015,Annual Housing and Transportation Cost 2015,Monthly Housing and Transportation Cost 2015,Transportation Cost as Percent of Monthly Median Household Income 2015,Transportation Cost as Percent of Annual Median Household Income 2015,Housing Cost as Percent of Monthly Median Household Income 2015,Housing Cost as Percent of Annual Median Household Income 2015,Housing and Transportation Cost as Percent of Monthly Median Household Income 2015,Housing and Transportation Cost as Percent of Annual Median Household Income 2015,Difference Annual Median Household Income and Total Annual Costs 2015
14499.0,51857.0,4321.416666666667,14845.0,1237.0833333333333,13980.0,1165.0,28825.0,2402.0833333333335,28.626800624795106,28.626800624795113,26.958751952484718,26.958751952484718,55.58555257727983,55.58555257727983,23032.0
264211.0,48368.0,4030.6666666666665,12082.0,1006.8333333333334,14508.0,1209.0,26590.0,2215.8333333333335,24.979325173668542,24.97932517366854,29.99503804168045,29.99503804168045,54.974363215349,54.97436321534899,21778.0
18556.0,44680.0,3723.3333333333335,14503.0,1208.5833333333333,12288.0,1024.0,26791.0,2232.5833333333335,32.45971351835273,32.45971351835273,27.502238137869288,27.502238137869295,59.96195165622203,59.96195165622203,17889.0
3247.0,39401.0,3283.4166666666665,13114.0,1092.8333333333333,9564.0,797.0,22678.0,1889.8333333333333,33.28341920255831,33.28341920255831,24.273495596558465,24.273495596558465,57.556914799116775,57.556914799116775,16723.0
7124.0,41949.0,3495.75,13919.0,1159.9166666666667,11088.0,924.0,25007.0,2083.9166666666665,33.18076712198146,33.180767121981454,26.43209611671315,26.43209611671315,59.6128632386946,59.6128632386946,16942.0
8856.0,33509.0,2792.4166666666665,14663.0,1221.9166666666667,9840.0,820.0,24503.0,2041.9166666666667,43.758393267480386,43.75839326748038,29.36524515801725,29.36524515801725,73.12363842549765,73.12363842549763,9006.0
32465.0,47692.0,3974.3333333333335,13932.0,1161.0,12432.0,1036.0,26364.0,2197.0,29.212446531913105,29.212446531913113,26.06726495009645,26.06726495009645,55.27971148200956,55.27971148200956,21328.0
66234.0,50344.0,4195.333333333333,13368.0,1114.0,12912.0,1076.0,26280.0,2190.0,26.553313205148584,26.553313205148577,25.6475448911489,25.647544891148893,52.20085809629747,52.20085809629747,24064.0
24641.0,53151.0,4429.25,14643.0,1220.25,13800.0,1150.0,28443.0,2370.25,27.549810916069312,27.549810916069312,25.963763616865158,25.963763616865158,53.51357453293447,53.51357453293447,24708.0
100661.0,56219.0,4684.916666666667,13555.0,1129.5833333333333,13968.0,1164.0,27523.0,2293.5833333333335,24.111065653960402,24.111065653960402,24.845692737330793,24.845692737330797,48.9567583912912,48.9567583912912,28696.0
5131.0,42023.0,3501.9166666666665,14125.0,1177.0833333333333,10656.0,888.0,24781.0,2065.0833333333335,33.612545510791705,33.612545510791705,25.357542298265233,25.357542298265233,58.97008780905695,58.97008780905695,17242.0
62425.0,57382.0,4781.833333333333,13988.0,1165.6666666666667,15288.0,1274.0,29276.0,2439.6666666666665,24.376982328953332,24.376982328953332,26.642501132759406,26.6425011327594,51.01948346171273,51.01948346171273,28106.0
2926.0,41029.0,3419.0833333333335,14791.0,1232.5833333333333,11076.0,923.0,25867.0,2155.5833333333335,36.05011089717029,36.0501108971703,26.995539740183773,26.995539740183773,63.045650637354065,63.045650637354065,15162.0
69478.0,96565.0,8047.083333333333,14070.0,1172.5,23172.0,1931.0,37242.0,3103.5,14.57049655672345,14.57049655672345,23.99627194117952,23.99627194117952,38.56676849790297,38.56676849790296,59323.0
44528.0,61070.0,5089.166666666667,14296.0,1191.3333333333333,15936.0,1328.0,30232.0,2519.3333333333335,23.409202554445717,23.40920255444572,26.094645488783364,26.094645488783364,49.503848043229084,49.503848043229084,30838.0
7774.0,41326.0,3443.8333333333335,14235.0,1186.25,10116.0,843.0,24351.0,2029.25,34.44562745003146,34.44562745003146,24.4785365145429,24.478536514542903,58.92416396457436,58.92416396457436,16975.0
6793.0,39679.0,3306.5833333333335,13254.0,1104.5,10788.0,899.0,24042.0,2003.5,33.40305955291212,33.40305955291212,27.188185186118602,27.188185186118602,60.591244739030714,60.59124473903073,15637.0
274.0,56667.0,4722.25,15654.0,1304.5,14064.0,1172.0,29718.0,2476.5,27.624543385038912,27.624543385038912,24.818677537190958,24.818677537190958,52.44322092222987,52.44322092222987,26949.0
1974.0,39777.0,3314.75,13691.0,1140.9166666666667,11424.0,952.0,25115.0,2092.9166666666665,34.41938808859391,34.41938808859391,28.720114639113053,28.720114639113053,63.13950272770696,63.13950272770696,14662.0
1027.0,201289.0,16774.083333333332,13233.0,1102.75,41448.0,3454.0,54681.0,4556.75,6.574129733865239,6.574129733865239,20.591289141483145,20.59128914148314,27.16541887534838,27.16541887534838,146608.0
384.0,51591.0,4299.25,11330.0,944.1666666666666,14076.0,1173.0,25406.0,2117.1666666666665,21.961194782035626,21.961194782035626,27.28382857475141,27.28382857475141,49.24502335678703,49.24502335678704,26185.0
12949.0,141833.0,11819.416666666666,14019.0,1168.25,30816.0,2568.0,44835.0,3736.25,9.884159539740399,9.884159539740399,21.726960580400895,21.726960580400895,31.611120120141294,31.611120120141294,96998.0
562.0,45104.0,3758.6666666666665,14911.0,1242.5833333333333,12708.0,1059.0,27619.0,2301.5833333333335,33.05915218162469,33.05915218162469,28.174884710890385,28.174884710890385,61.234036892515086,61.23403689251508,17485.0
108.0,37206.0,3100.5,15655.0,1304.5833333333333,14052.0,1171.0,29707.0,2475.5833333333335,42.076546793527925,42.076546793527925,37.768101919045314,37.768101919045314,79.84464871257325,79.84464871257325,7499.0
566.0,28667.0,2388.9166666666665,14343.0,1195.25,10908.0,909.0,25251.0,2104.25,50.03313914954478,50.033139149544766,38.05072034046116,38.05072034046116,88.08385949000593,88.08385949000593,3416.0
51776.0,46947.0,3912.25,12847.0,1070.5833333333333,12408.0,1034.0,25255.0,2104.5833333333335,27.364900845634438,27.364900845634438,26.429803821330438,26.429803821330438,53.794704666964876,53.794704666964876,21692.0
14075.0,36426.0,3035.5,12618.0,1051.5,10608.0,884.0,23226.0,1935.5,34.640092241805306,34.640092241805306,29.1220556745182,29.1220556745182,63.76214791632351,63.76214791632351,13200.0
1449.0,62375.0,5197.916666666667,15404.0,1283.6666666666667,16056.0,1338.0,31460.0,2621.6666666666665,24.695791583166333,24.695791583166333,25.741082164328656,25.741082164328656,50.43687374749498,50.43687374749499,30915.0
687.0,64554.0,5379.5,14699.0,1224.9166666666667,16152.0,1346.0,30851.0,2570.9166666666665,22.770083960715063,22.77008396071506,25.020912724230875,25.020912724230875,47.79099668494594,47.79099668494594,33703.0
142.0,18750.0,1562.5,13925.0,1160.4166666666667,10524.0,877.0,24449.0,2037.4166666666667,74.26666666666667,74.26666666666667,56.128,56.128,130.3946666666667,130.39466666666667,-5699.0
5671.0,37045.0,3087.0833333333335,13081.0,1090.0833333333333,10836.0,903.0,23917.0,1993.0833333333333,35.31110811175597,35.31110811175597,29.250911054123364,29.250911054123364,64.56201916587932,64.56201916587933,13128.0
726.0,37000.0,3083.3333333333335,12605.0,1050.4166666666667,8712.0,726.0,21317.0,1776.4166666666667,34.06756756756757,34.06756756756757,23.545945945945945,23.545945945945945,57.61351351351352,57.61351351351352,15683.0
270.0,56500.0,4708.333333333333,15277.0,1273.0833333333333,13044.0,1087.0,28321.0,2360.0833333333335,27.038938053097343,27.038938053097343,23.086725663716816,23.086725663716816,50.12566371681416,50.12566371681416,28179.0
510.0,28182.0,2348.5,12697.0,1058.0833333333333,9132.0,761.0,21829.0,1819.0833333333333,45.053580299481936,45.053580299481936,32.403661911858634,32.403661911858634,77.45724221134057,77.45724221134057,6353.0
2893.0,59406.0,4950.5,14416.0,1201.3333333333333,14292.0,1191.0,28708.0,2392.3333333333335,24.266909066424265,24.266909066424265,24.058175941824057,24.058175941824057,48.32508500824833,48.32508500824832,30698.0
1743.0,199464.0,16622.0,14356.0,1196.3333333333333,37716.0,3143.0,52072.0,4339.333333333333,7.197288733806602,7.197288733806602,18.908675249669113,18.908675249669113,26.10596398347571,26.105963983475718,147392.0
26228.0,85671.0,7139.25,12866.0,1072.1666666666667,19488.0,1624.0,32354.0,2696.1666666666665,15.01791738161105,15.017917381611046,22.747487481177995,22.747487481177995,37.76540486278904,37.76540486278904,53317.0
12037.0,47957.0,3996.4166666666665,13110.0,1092.5,13584.0,1132.0,26694.0,2224.5,27.33698938632525,27.33698938632525,28.32537481493838,28.32537481493838,55.662364201263635,55.662364201263635,21263.0
