NAME,GEO_ID,Households 2015,Annual Median Household Income 2015,Monthly Median Household Income 2015,Annual Transportation Cost 2015,Monthly Transportation Cost 2015,Annual Housing Cost 2015,Monthly Housing Cost 2015,Annual Housing and Transportation Cost 2015,Monthly Housing and Transportation Cost 2015,Transportation Cost as Percent of Monthly Median Household Income 2015,Transportation Cost as Percent of Annual Median Household Income 2015,Housing Cost as Percent of Monthly Median Household Income 2015,Housing Cost as Percent of Annual Median Household Income 2015,Housing and Transportation Cost as Percent of Monthly Median Household Income 2015,Housing and Transportation Cost as Percent of Annual Median Household Income 2015,Difference Annual Median Household Income and Total Annual Costs 2015,Households 2019,Annual Median Household Income 2019,Monthly Median Household Income 2019,Annual Transportation Cost 2019,Monthly Transportation Cost 2019,Annual Housing Cost 2019,Monthly Housing Cost 2019,Annual Housing and Transportation Cost 2019,Monthly Housing and Transportation Cost 2019,Transportation Cost as Percent of Monthly Median Household Income 2019,Transportation Cost as Percent of Annual Median Household Income 2019,Housing Cost as Percent of Monthly Median Household Income 2019,Housing Cost as Percent of Annual Median Household Income 2019,Housing and Transportation Cost as Percent of Monthly Median Household Income 2019,Housing and Transportation Cost as Percent of Annual Median Household Income 2019,Difference Annual Median Household Income and Total Annual Costs 2019,Change in Annual MHI,Percent Change in Annual MHI,Change in Monthly MHI,Percent Change in Monthly MHI,Change in Annual Transportation Cost,Percent Change in Annual Transportation Cost,Change in Monthly Transportation Cost,Percent Change in Monthly Transportation Cost,Change in Annual Housing and Transportation Cost,Percent Change in Annual Housing and Transportation Cost,Change in Monthly Housing and Transportation Cost,Percent Change in Monthly Housing and Transportation Cost,Change in Difference Annual Median Household Income and Total Annual Costs,Percent Change in Difference Annual Median Household Income and Total Annual Costs
"Cheatham County, Tennessee",0500000US47021,14499.0,51857.0,4321.416666666667,14845.0,1237.0833333333333,13980.0,1165.0,28825.0,2402.0833333333335,28.626800624795106,28.626800624795113,26.958751952484718,26.958751952484718,55.58555257727983,55.58555257727983,23032.0,15089.0,61913.0,5159.416666666667,16511.0,1375.9166666666667,14748.0,1229.0,31259.0,2604.9166666666665,26.66806648038376,26.66806648038376,23.820522345872437,23.820522345872437,50.4885888262562,50.4885888262562,30654.0,10056.0,19.391788958096303,838.0,19.3917889580963,1666.0,11.222633883462445,138.83333333333348,11.222633883462459,2434.0,8.444058976582827,202.83333333333303,8.444058976582815,7622.0,33.09308787773532
"Davidson County, Tennessee",0500000US47037,264211.0,48368.0,4030.6666666666665,12082.0,1006.8333333333334,14508.0,1209.0,26590.0,2215.8333333333335,24.979325173668542,24.97932517366854,29.99503804168045,29.99503804168045,54.974363215349,54.97436321534899,21778.0,282366.0,60388.0,5032.333333333333,13136.0,1094.6666666666667,16308.0,1359.0,29444.0,2453.6666666666665,21.75266609260118,21.752666092601174,27.00536530436511,27.005365304365103,48.75803139696628,48.75803139696628,30944.0,12020.0,24.851141250413498,1001.6666666666665,24.851141250413495,1054.0,8.723721238205595,87.83333333333337,8.723721238205599,2854.0,10.73335840541557,237.83333333333303,10.733358405415554,9166.0,42.08834603728533
"Dickson County, Tennessee",0500000US47043,18556.0,44680.0,3723.3333333333335,14503.0,1208.5833333333333,12288.0,1024.0,26791.0,2232.5833333333335,32.45971351835273,32.45971351835273,27.502238137869288,27.502238137869295,59.96195165622203,59.96195165622203,17889.0,19198.0,53076.0,4423.0,16270.0,1355.8333333333333,13092.0,1091.0,29362.0,2446.833333333333,30.654156304167607,30.654156304167607,24.66651593940764,24.66651593940764,55.32067224357525,55.32067224357525,23714.0,8396.0,18.791405550581917,699.6666666666665,18.79140555058191,1767.0,12.18368613390333,147.25,12.18368613390333,2571.0,9.596506289425554,214.24999999999955,9.596506289425532,5825.0,32.56190955335681
"Houston County, Tennessee",0500000US47083,3247.0,39401.0,3283.4166666666665,13114.0,1092.8333333333333,9564.0,797.0,22678.0,1889.8333333333333,33.28341920255831,33.28341920255831,24.273495596558465,24.273495596558465,57.556914799116775,57.556914799116775,16723.0,2878.0,42711.0,3559.25,15210.0,1267.5,11364.0,947.0,26574.0,2214.5,35.611434993327244,35.611434993327244,26.60672894570485,26.60672894570485,62.2181639390321,62.2181639390321,16137.0,3310.0,8.400802010101266,275.8333333333335,8.400802010101271,2096.0,15.982919017843525,174.66666666666674,15.982919017843534,3896.0,17.179645471381956,324.66666666666674,17.17964547138196,-586.0,-3.5041559528792683
"Humphreys County, Tennessee",0500000US47085,7124.0,41949.0,3495.75,13919.0,1159.9166666666667,11088.0,924.0,25007.0,2083.9166666666665,33.18076712198146,33.180767121981454,26.43209611671315,26.43209611671315,59.6128632386946,59.6128632386946,16942.0,6763.0,45667.0,3805.5833333333335,15296.0,1274.6666666666667,10764.0,897.0,26060.0,2171.6666666666665,33.494646024481575,33.494646024481575,23.570630871307507,23.570630871307507,57.06527689578908,57.06527689578908,19607.0,3718.0,8.863143340723258,309.8333333333335,8.863143340723264,1377.0,9.892952079890797,114.75,9.892952079890796,1053.0,4.210820970128364,87.75,4.210820970128364,2665.0,15.730138118285916
"Macon County, Tennessee",0500000US47111,8856.0,33509.0,2792.4166666666665,14663.0,1221.9166666666667,9840.0,820.0,24503.0,2041.9166666666667,43.758393267480386,43.75839326748038,29.36524515801725,29.36524515801725,73.12363842549765,73.12363842549763,9006.0,9170.0,37430.0,3119.1666666666665,16605.0,1383.75,10236.0,853.0,26841.0,2236.75,44.36281057974887,44.36281057974886,27.347047822602192,27.34704782260219,71.70985840235106,71.70985840235106,10589.0,3921.0,11.701333969978215,326.75,11.701333969978215,1942.0,13.244220145945576,161.83333333333326,13.24422014594557,2338.0,9.541688772803331,194.83333333333326,9.541688772803326,1583.0,17.577170775038866
"Maury County, Tennessee",0500000US47119,32465.0,47692.0,3974.3333333333335,13932.0,1161.0,12432.0,1036.0,26364.0,2197.0,29.212446531913105,29.212446531913113,26.06726495009645,26.06726495009645,55.27971148200956,55.27971148200956,21328.0,34688.0,57170.0,4764.166666666667,15427.0,1285.5833333333333,13764.0,1147.0,29191.0,2432.583333333333,26.98443239461256,26.98443239461256,24.07556410704915,24.075564107049157,51.05999650166171,51.05999650166171,27979.0,9478.0,19.87335402163885,789.8333333333335,19.873354021638853,1495.0,10.730691932242319,124.58333333333326,10.730691932242314,2827.0,10.722955545440753,235.58333333333303,10.722955545440739,6651.0,31.18435858964741
"Montgomery County, Tennessee",0500000US47125,66234.0,50344.0,4195.333333333333,13368.0,1114.0,12912.0,1076.0,26280.0,2190.0,26.553313205148584,26.553313205148577,25.6475448911489,25.647544891148893,52.20085809629747,52.20085809629747,24064.0,72617.0,57541.0,4795.083333333333,15003.0,1250.25,13824.0,1152.0,28827.0,2402.25,26.07358231521871,26.07358231521871,24.02460853999757,24.02460853999757,50.09819085521629,50.09819085521629,28714.0,7197.0,14.295645955823932,599.75,14.295645955823932,1635.0,12.230700179533214,136.25,12.230700179533214,2547.0,9.691780821917808,212.25,9.691780821917808,4650.0,19.32347074468085
"Robertson County, Tennessee",0500000US47147,24641.0,53151.0,4429.25,14643.0,1220.25,13800.0,1150.0,28443.0,2370.25,27.549810916069312,27.549810916069312,25.963763616865158,25.963763616865158,53.51357453293447,53.51357453293447,24708.0,25713.0,63307.0,5275.583333333333,16428.0,1369.0,14940.0,1245.0,31368.0,2614.0,25.94973699590883,25.94973699590882,23.59928601892366,23.599286018923657,49.549023014832486,49.549023014832486,31939.0,10156.0,19.107824876295837,846.333333333333,19.10782487629583,1785.0,12.190124974390494,148.75,12.190124974390494,2925.0,10.283725345427698,243.75,10.283725345427698,7231.0,29.265824834061842
"Rutherford County, Tennessee",0500000US47149,100661.0,56219.0,4684.916666666667,13555.0,1129.5833333333333,13968.0,1164.0,27523.0,2293.5833333333335,24.111065653960402,24.111065653960402,24.845692737330793,24.845692737330797,48.9567583912912,48.9567583912912,28696.0,111676.0,67429.0,5619.083333333333,15301.0,1275.0833333333333,15204.0,1267.0,30505.0,2542.083333333333,22.69201678802889,22.69201678802889,22.54816177015824,22.54816177015824,45.24017855818713,45.240178558187125,36924.0,11210.0,19.93987797719632,934.1666666666661,19.939877977196307,1746.0,12.880855772777572,145.5,12.880855772777574,2982.0,10.834574719325655,248.49999999999955,10.834574719325635,8228.0,28.672985781990523
