NAME,Year,GEO_ID,Units in All Multi-Family Structures,Units in Single-Family Structures,Units in All Structures
Adams,1980.0,1600000US4700200,0.0,0.0,0.0
Adams,1981.0,1600000US4700200,0.0,0.0,0.0
Adams,1982.0,1600000US4700200,0.0,0.0,0.0
Adams,1983.0,1600000US4700200,0.0,0.0,0.0
Adams,1984.0,1600000US4700200,0.0,0.0,0.0
Adams,1985.0,1600000US4700200,0.0,0.0,0.0
Adams,1986.0,1600000US4700200,0.0,0.0,0.0
Adams,1987.0,1600000US4700200,0.0,0.0,0.0
Adams,1988.0,1600000US4700200,0.0,0.0,0.0
Adams,1989.0,1600000US4700200,0.0,0.0,0.0
Adams,1990.0,1600000US4700200,0.0,3.0,3.0
Adams,1991.0,1600000US4700200,0.0,3.0,3.0
Adams,1992.0,1600000US4700200,0.0,3.0,3.0
Adams,1993.0,1600000US4700200,0.0,1.0,1.0
Adams,1994.0,1600000US4700200,0.0,3.0,3.0
Adams,1995.0,1600000US4700200,0.0,1.0,1.0
Adams,1996.0,1600000US4700200,0.0,0.0,0.0
Adams,1997.0,1600000US4700200,0.0,0.0,0.0
Adams,1998.0,1600000US4700200,0.0,0.0,0.0
Adams,1999.0,1600000US4700200,0.0,0.0,0.0
Adams,2000.0,1600000US4700200,0.0,0.0,0.0
Adams,2001.0,1600000US4700200,0.0,0.0,0.0
Adams,2002.0,1600000US4700200,0.0,0.0,0.0
Adams,2003.0,1600000US4700200,0.0,0.0,0.0
Adams,2004.0,1600000US4700200,0.0,0.0,0.0
Adams,2005.0,1600000US4700200,0.0,0.0,0.0
Adams,2006.0,1600000US4700200,0.0,0.0,0.0
Adams,2007.0,1600000US4700200,0.0,0.0,0.0
Adams,2008.0,1600000US4700200,0.0,0.0,0.0
Adams,2009.0,1600000US4700200,0.0,0.0,0.0
Adams,2010.0,1600000US4700200,0.0,0.0,0.0
Adams,2011.0,1600000US4700200,0.0,0.0,0.0
Adams,2012.0,1600000US4700200,0.0,0.0,0.0
Adams,2013.0,1600000US4700200,0.0,0.0,0.0
Adams,2014.0,1600000US4700200,0.0,0.0,0.0
Adams,2015.0,1600000US4700200,0.0,0.0,0.0
Adams,2016.0,1600000US4700200,0.0,0.0,0.0
Adams,2017.0,1600000US4700200,0.0,0.0,0.0
Adams,2018.0,1600000US4700200,0.0,0.0,0.0
Adams,2019.0,1600000US4700200,0.0,0.0,0.0
Adams,2020.0,1600000US4700200,0.0,0.0,0.0
Adams,2021.0,1600000US4700200,0.0,0.0,0.0
"Allen County, KY",,0500000US21003,,,
Ashland City,1980.0,1600000US4702180,0.0,0.0,0.0
Ashland City,1981.0,1600000US4702180,0.0,0.0,0.0
Ashland City,1982.0,1600000US4702180,0.0,0.0,0.0
Ashland City,1983.0,1600000US4702180,0.0,0.0,0.0
Ashland City,1984.0,1600000US4702180,0.0,0.0,0.0
Ashland City,1985.0,1600000US4702180,0.0,0.0,0.0
Ashland City,1986.0,1600000US4702180,0.0,0.0,0.0
Ashland City,1987.0,1600000US4702180,0.0,0.0,0.0
Ashland City,1988.0,1600000US4702180,0.0,0.0,0.0
Ashland City,1989.0,1600000US4702180,0.0,0.0,0.0
Ashland City,1990.0,1600000US4702180,8.0,76.0,84.0
Ashland City,1991.0,1600000US4702180,3.0,48.0,51.0
Ashland City,1992.0,1600000US4702180,12.0,11.0,23.0
Ashland City,1993.0,1600000US4702180,0.0,6.0,6.0
Ashland City,1994.0,1600000US4702180,0.0,18.0,18.0
Ashland City,1995.0,1600000US4702180,8.0,22.0,30.0
Ashland City,1996.0,1600000US4702180,7.0,18.0,25.0
Ashland City,1997.0,1600000US4702180,7.0,14.0,21.0
Ashland City,1998.0,1600000US4702180,73.0,15.0,88.0
Ashland City,1999.0,1600000US4702180,134.0,2.0,136.0
Ashland City,2000.0,1600000US4702180,40.0,35.0,75.0
Ashland City,2001.0,1600000US4702180,68.0,29.0,97.0
Ashland City,2002.0,1600000US4702180,70.0,31.0,101.0
Ashland City,2003.0,1600000US4702180,96.0,19.0,115.0
Ashland City,2004.0,1600000US4702180,48.0,24.0,72.0
Ashland City,2005.0,1600000US4702180,10.0,6.0,16.0
Ashland City,2006.0,1600000US4702180,0.0,26.0,26.0
Ashland City,2007.0,1600000US4702180,0.0,36.0,36.0
Ashland City,2008.0,1600000US4702180,0.0,14.0,14.0
Ashland City,2009.0,1600000US4702180,216.0,6.0,222.0
Ashland City,2010.0,1600000US4702180,0.0,3.0,3.0
Ashland City,2011.0,1600000US4702180,0.0,0.0,0.0
Ashland City,2012.0,1600000US4702180,0.0,0.0,0.0
Ashland City,2013.0,1600000US4702180,0.0,2.0,2.0
